attendance_percentage,assignments_rate,quizzes_score,previous_grades,time_spent_on_study,extracurricular,stress_level,dropout_confidense
60.25,62.97,95.97,60.272,6.7,1,1,0.561
85.77,91.36,99.76,71.818,12.4,0,1,0.3494
90.45,70.9,59.89,69.2485,26.8,0,6,0.5382
72.63,58.78,90.53,75.995,15.1,0,8,0.6187
75.33,67.51,58.12,65.154,17.9,1,7,0.5073
51.63,62.31,72.85,70.3625,9.6,0,6,0.7082
53.47,61.44,55.01,59.904,18.8,0,7,0.8381
62.88,64.13,81.17,77.975,11.6,0,2,0.5601
77.19,59.05,73.43,55.332,25.7,0,6,0.584
86.98,83.39,81.43,73.8265,10,0,9,0.5009
80.25,79,83.9,61.682,14,1,4,0.4079
69.61,82.42,80.97,75.236,7.4,1,2,0.4927
55.92,67.19,64.7,65.229,19.7,1,9,0.5978
89.04,88.49,91.85,72.681,28.5,1,8,0.2186
68.19,56.48,77.58,75.6025,9.3,1,8,0.6452
86.8,78.56,74.49,84.7165,5.5,1,7,0.3639
75.65,63.77,99.35,71.63,15.6,0,8,0.545
86.93,76.38,64.18,70.928,23.7,1,3,0.3967
95.36,66.18,76.4,75.7245,29.4,0,6,0.4036
96.05,89.53,84.12,63.942,6.3,0,7,0.451
76.76,94.56,56.26,76.0975,24.6,0,5,0.506
75.58,87.13,67.71,66.9825,14.2,0,2,0.5218
63.28,58.78,90.08,75.0025,8.8,1,10,0.6017
96.79,63.74,61.84,68.41,9.8,1,7,0.5262
72.9,95.97,74.66,78.3375,28.1,1,2,0.3282
56.38,71.86,81.53,77.2615,25.2,1,9,0.5219
71.64,97.06,83.56,68.917,12.8,0,9,0.4908
56.35,69.62,86.42,72.12,28.5,1,10,0.4819
75.13,97.59,93.3,85.944,7.6,0,6,0.3639
78.06,96.29,69.64,71.8085,13.1,1,4,0.342
66.89,83.03,85.33,79.717,21.3,0,10,0.5689
53.58,50.44,86.61,64.851,30,1,4,0.527
97.18,70.02,65.01,74.828,16.6,1,5,0.3753
88.67,95.56,98.41,83.2445,25.3,0,7,0.1947
91.94,94.26,93.26,79.674,27.9,1,8,0.2316
68.34,59.37,64.49,63.195,5.2,1,10,0.719
88.04,69.96,83.75,66.9585,12.2,1,8,0.5316
74.27,91.78,85.89,73.31,7.5,0,7,0.4619
60.05,78.89,71.57,73.0955,24.4,1,6,0.519
56.22,92.36,93.19,83.7485,19.2,0,2,0.3867
67.25,91.33,84.51,83.339,7.4,0,8,0.6162
56.88,95.37,82.91,71.7455,15.5,1,4,0.4084
99.91,55.86,61.04,71.7235,17.8,1,8,0.5002
52.46,57.26,70.39,54.557,22.4,0,5,0.7837
72.06,54.14,71.7,73.8045,24.5,1,3,0.5446
72.6,96.76,86.68,76.0325,7.2,0,6,0.4595
65.03,73.76,80.92,79.604,17.2,0,2,0.5151
78.57,53.22,54.29,67.5485,9,0,6,0.7302
57.5,66.08,65.38,78.457,23.8,0,6,0.6158
89.2,67.57,73.65,63.6535,21.4,1,1,0.4685
66.62,90.48,86.84,74.9425,23.1,1,10,0.5143
79.57,86.77,87.18,72.3165,6.9,1,5,0.4032
85.78,84.47,74.53,68.804,17.8,1,5,0.3252
94.45,51.09,55.85,70.1495,26,0,8,0.5484
91.79,95.53,64.65,79.3885,22.8,1,7,0.4234
80.42,60.78,62.73,74.1715,26.5,0,9,0.5124
69.42,81.45,89.05,84.2175,10.2,1,10,0.5474
75.16,53.09,59,55.575,12.2,1,3,0.7699
88.44,54.08,73.25,61.697,16,0,1,0.5406
93.88,50.48,83.54,63.737,18.1,1,7,0.5169
55.19,78.3,98.24,79.3275,11.3,1,9,0.6073
69.24,81.47,99.96,67.913,14.5,0,10,0.4937
88.81,52.52,97.65,64.3165,22.2,0,10,0.4933
71.58,64.52,85.91,70.777,21.1,0,7,0.5159
66.61,92.57,87.32,66.435,7.8,0,10,0.5138
70.57,55.07,87.96,68.6655,29.6,0,7,0.5054
80.14,60.83,93.13,67.748,19.1,0,10,0.473
99.99,71.22,97.59,74.745,17.1,0,6,0.3478
74.65,92.11,72.29,74.734,29.2,0,5,0.3486
60.42,62.74,70.83,72.694,8.5,0,5,0.7229
58.14,99.86,73.02,66.073,18.6,0,8,0.4681
52.12,67.76,82.99,75.027,25.1,0,9,0.6274
77.94,69.32,88.77,61.856,15,1,4,0.5271
77.23,56.11,93.53,56.763,23.4,1,10,0.428
60.26,84.01,72.81,75.302,27.5,0,1,0.4947
84.77,62.17,68.17,68.115,11.5,1,5,0.6085
87.06,81.44,99.17,68.3205,11,0,4,0.3518
62.95,61.16,61.59,77.3135,14,0,4,0.7621
67.2,69.39,61.1,58.527,15.5,0,1,0.6844
99.52,92.83,85.77,77.9165,7.8,1,3,0.2407
68.71,86.95,58.98,70.6,10.8,0,3,0.5878
88.04,57.73,69.97,57.765,26.8,1,8,0.5308
72.64,80.39,64.62,84.0445,19.2,0,6,0.505
89.67,81.43,58.44,78.831,11.7,1,6,0.4699
88.45,54.53,78.99,74.088,28.6,1,6,0.3636
83.39,73.29,68.68,70.8965,24.4,0,8,0.4964
92.74,63.03,73.11,82.841,14.1,1,5,0.3531
96.96,73.36,59.79,68.347,24.1,1,3,0.3735
79,88.85,88.39,80.9045,19.9,0,1,0.2976
61.87,57.91,65.74,78.0645,22.1,1,8,0.5687
69.93,56.17,67.14,57.584,13,1,10,0.7645
87.92,63.47,62.61,73.875,10.2,1,4,0.5802
82.54,97.61,71.72,72.29,11.3,1,3,0.4123
58.89,87.39,73.18,71.369,7.1,0,8,0.5881
52.56,50.97,76.48,69.5275,16.8,1,10,0.7035
84.15,70.05,98.38,71.3675,15.2,1,7,0.4667
62.55,62.87,95.23,81.015,5.1,0,8,0.6429
74.98,81.91,80.47,65.7335,26.4,1,2,0.4981
87.34,72.96,51.95,62.439,22,1,8,0.5322
78.13,98.22,80.61,81.5225,16.2,1,4,0.3294
54.17,60.95,54.48,79.57,29.2,0,2,0.6192
59.28,79.39,85.52,69.553,28.5,0,4,0.4979
60.97,85.01,69.5,69.9985,7.4,1,8,0.5981
62.89,91.28,91.88,75.133,20.4,0,6,0.4828
78.27,70.35,97.13,70.0655,25.4,0,3,0.4568
75.2,84.35,70.86,67.0365,9.3,1,7,0.4868
60.16,65.16,73.03,61.923,8.2,1,6,0.6233
53.38,71.77,79.51,83.1585,11.5,0,5,0.5391
58.57,94.78,59.86,73.414,12,1,6,0.5827
99.22,97.5,96.37,84.9385,29.1,0,3,0.0703
73.43,85.94,71.65,60.438,24.5,0,5,0.3885
93.37,68.72,58.34,57.0345,6.5,0,3,0.6331
92.44,91,88.14,79.6475,24.7,1,2,0.3234
75.58,51.29,60.96,71.588,9.2,0,2,0.6934
85.33,55.14,57.18,68.083,13.9,1,2,0.6164
59.64,83.07,78.14,72.521,13,1,10,0.5673
84.42,64.56,83.57,79.656,11.8,0,4,0.4919
63.62,97.57,78.48,71.75,12.7,1,2,0.4902
91.6,71.8,82.83,62.1725,23.9,1,4,0.356
54.19,71.47,55.78,66.289,11.7,0,9,0.7906
88.66,83.9,73.8,70.0005,25,0,3,0.3915
55,88.38,67.85,68.5895,7.3,1,5,0.5823
94.06,73.78,98.67,76.1265,19.9,1,2,0.3182
65.21,60.7,52.48,55.749,26.6,0,7,0.7014
82.72,88.67,64.91,75.4605,7,0,10,0.5034
74.38,66.02,97.09,60.525,20.9,1,5,0.4929
68.32,58.76,99.17,71.3695,17.8,1,7,0.4674
82.27,81.58,91.25,83.231,13.3,0,3,0.3913
97.38,54.52,53.8,74.5045,7.5,0,6,0.6153
52.06,98.57,78.07,71.603,21.9,0,3,0.5544
95.94,81.62,70.01,78.135,12.7,1,1,0.3685
80.45,99.29,90.32,72.8885,13.5,1,8,0.3411
90.37,66.94,52.75,73.116,22.9,1,9,0.5242
69.19,98.56,59.86,67.849,28.6,1,5,0.4722
73.59,57.28,74.46,72.197,13.3,1,1,0.5848
93.44,52.03,57.88,75.0295,23.7,1,2,0.4626
70.74,51.65,84.64,71.0435,28.9,0,8,0.4968
76.73,73.24,91.04,82.1895,7.4,0,7,0.4594
51.01,54.15,85.23,74.614,18.2,1,4,0.6139
57.93,75.61,72.01,71.2185,5.3,1,3,0.6012
82.08,66.38,93.92,63.645,25.6,0,4,0.432
85.85,66.78,56.88,63.0205,12.2,0,5,0.623
79.13,81.78,63.02,73.3965,13.3,0,4,0.5547
57.17,58.15,74.48,61.565,22.2,1,9,0.6589
72.27,88.33,53.07,74.547,24.7,1,1,0.4515
67.75,79.1,54.78,69.9075,15,1,1,0.5586
74.78,95.75,69.87,86.547,21.6,0,10,0.3139
93.52,68.24,97.19,64.9505,28.9,0,7,0.3124
88.79,99.14,95.42,79.8405,27.2,0,3,0.1953
54.2,78.79,73.3,70.426,22.5,1,4,0.4783
94.52,98.67,57.11,66.597,28.6,0,1,0.3458
73.59,51.35,58.91,70.331,26.9,1,2,0.6341
87.19,86.4,68.88,66.8595,23.2,1,5,0.4309
57,90.83,60.5,73.9315,27.9,1,4,0.4601
83.54,52.66,54.15,55.6795,25.4,0,3,0.7054
61.82,78.95,83.69,71.341,17.6,1,2,0.4915
71.92,90.1,79.07,73.7165,17.6,1,1,0.3724
50.84,78.05,64.56,59.0395,5.2,1,1,0.6796
57.58,53.19,88.95,69.62,5.8,1,1,0.6485
54.6,84.67,88.8,70.6815,23.7,0,7,0.5059
61.99,53.03,74.55,62.7235,18.9,1,1,0.6386
55,90.87,54.83,84.32,24,1,2,0.4829
84.6,52.15,95.92,73.499,28.7,1,2,0.3669
51.45,56.87,83.43,72.0935,16.3,0,8,0.7355
80.89,63.76,62.35,73.9895,7.2,0,5,0.6932
57.04,81.67,80.52,72.14,20.7,1,4,0.5439
97.26,98.82,70.25,72.407,7.5,0,3,0.306
96.65,55.89,81.77,68.402,20.5,1,8,0.306
61.28,57.14,73.69,65.9575,18.2,0,10,0.7597
80.72,68.44,74.27,85.449,22.8,0,6,0.385
51.4,91.81,86.79,71.1565,13.8,0,7,0.5654
96.59,73.36,80.69,78.7095,8.6,1,5,0.3289
76.15,66.08,54,61.214,10.9,0,5,0.6039
52.16,78.06,53.27,80.2135,22.1,0,10,0.6918
67.12,63.03,65.25,64.828,17,1,8,0.6734
53.84,70.06,71.51,68.6845,18.5,1,1,0.5653
69.65,66.63,63.76,79.4055,13.1,0,3,0.4798
83.5,90.21,82.57,86.4325,25.9,0,7,0.2837
73.49,96.21,59.76,73.6065,30,0,3,0.4216
69.19,87.98,85.21,69.579,12.8,0,9,0.4562
55.96,71.95,88.66,84.28,23,0,2,0.5096
62.25,75.22,56.22,69.8665,9.3,1,1,0.6277
55.01,56.25,82.54,76.5635,23.6,0,7,0.6655
90.37,87.34,98.07,72.902,15.8,1,9,0.315
56.76,79.82,59.64,70.0725,20.1,0,4,0.5798
79.77,95.12,95.47,82.5555,10.9,0,9,0.4454
67.14,60.03,80.3,77.572,26.3,0,3,0.5177
61.3,87.99,79.55,73.5725,9.3,1,8,0.5372
81.97,84.23,52.6,75.4,28.2,1,9,0.3704
72.85,63.29,87.42,64.493,6.5,0,5,0.6145
70.01,83.37,73.91,75.5195,12.2,0,5,0.4955
79.64,96.22,86.06,69.526,19.1,1,5,0.3239
74.56,95.92,90.46,68.0655,26.5,1,9,0.4143
65.17,85.98,76.19,67.5685,19.4,1,9,0.4339
77.95,52.4,63.18,75.886,10.4,0,3,0.5739
83.47,93.61,57.08,86.1455,26.5,1,4,0.3783
51.33,82.89,58.03,78.4095,19.9,0,6,0.6219
73.29,65.52,93.35,72.251,10.8,1,8,0.4891
52.88,59.36,56.18,78.083,19,1,2,0.7106
59.32,55.81,69.23,62.404,21.9,1,4,0.6177
78.03,52.51,66.71,65.2815,22,0,5,0.7117
93.31,87.71,93.27,78.845,23.1,1,6,0.2606
94.14,61.79,73.88,72.88,27.4,0,1,0.3766
53.5,51.21,99.82,61.536,25.6,0,6,0.7534
70.96,69.86,86.85,68.074,20.2,0,10,0.5248
79.15,74.13,92.55,80.239,5.8,0,7,0.5458
57.35,58.46,54.93,57.004,23.7,1,9,0.7403
88.27,52.2,62.66,71.9965,29.4,1,8,0.5473
87.21,59.46,56.77,62.9655,12.6,1,3,0.6577
95.17,83.96,73.18,63.796,20.2,1,5,0.3569
50.42,54.11,85.91,79.9465,24.2,0,1,0.5719
60.83,77.75,58.45,69.0835,21,0,9,0.6686
91.36,57.32,56.51,80.199,28.1,0,10,0.4721
83.53,59.78,80.73,65.9105,16.8,0,7,0.6626
94.72,69.65,61.52,72.749,18.3,0,3,0.4767
52.86,55.04,73.97,67.4985,6,0,6,0.7902
79.85,58.66,52.56,68.601,27.5,0,10,0.622
78.45,67.45,84.03,69.0485,11.6,1,1,0.4167
51.78,66.48,77.07,72.486,29.5,0,3,0.5357
75.68,87.46,82.37,80.6785,10.1,1,1,0.4526
80.48,53.74,63.77,79.65,11.3,0,7,0.6061
59.56,93.02,63.93,79.8685,17.1,0,3,0.4758
63.67,90.81,90.07,76.219,21.5,0,5,0.4619
82.02,88.3,85.93,73.9895,16,0,5,0.4655
73.42,65.47,78.99,61.846,13.8,1,9,0.6237
92.9,91.14,81.41,75.3985,18.5,1,1,0.3119
67.12,59.14,54.7,65.372,29,1,3,0.5432
63.33,56.22,92.81,66.3685,29,0,4,0.4785
99.24,52.25,88.5,68.63,13.2,1,4,0.511
95.56,96.97,79.52,83.0415,22,1,8,0.2071
51.45,65.4,95.93,81.3795,23,0,8,0.5579
88.54,95.88,58.43,71.864,21.3,1,4,0.412
55.52,63.63,84.33,56.7245,7.8,0,10,0.8053
51.37,95.38,98.15,72.646,18.5,1,9,0.4791
63.68,95.2,65.5,76.443,24.1,1,9,0.5553
63.47,96.18,50.76,70.7885,10,0,3,0.5765
90.97,74.81,86.74,80.136,13.7,1,9,0.4247
85.53,93.3,50.35,65.087,10.1,0,8,0.5604
99.08,97.54,93.63,82.3175,27.2,1,4,0.1235
85.58,66.23,52.82,71.587,26.5,1,10,0.5754
70.91,70.94,82.64,84.1295,9.2,0,5,0.5731
84.95,85.96,68.86,57.881,24,1,2,0.4187
99.97,65.02,60.17,60.2975,14.1,0,7,0.6092
85.51,87.69,94.91,80.002,22.2,0,2,0.2719
88.08,53.69,87.31,78.589,17.3,1,1,0.3728
96.92,76.17,67.02,69.4285,16.8,0,10,0.4231
55.68,56.12,64.21,72.02,27,1,5,0.5242
85.24,64.67,86.8,65.6145,20.9,1,8,0.5504
92.54,62.93,91.83,64.4325,10.9,0,4,0.4395
97.72,91.95,85.79,82.9025,7.8,0,1,0.2994
60.55,59.68,82,79.5325,28.3,0,4,0.528
75.2,90.42,61.4,71.056,8.8,1,9,0.5462
84.03,89.7,92.64,81.7705,23.4,1,8,0.3073
62.37,74.94,87.48,79.67,17.4,0,9,0.591
80.02,61.69,75.86,63.901,8.5,1,7,0.5639
62.88,61.34,75.58,69.933,24.4,0,6,0.6014
66.67,73.25,78.46,71.031,27.6,0,6,0.5257
72.08,50.44,91.41,62.725,8,1,1,0.5923
76.46,76.57,87.11,88.619,6.7,1,3,0.5032
72.47,97.64,92.81,72.104,26.2,0,2,0.349
74.66,57.74,75.36,60.247,17.5,1,7,0.6322
64.93,78.67,81.23,78.93,21.9,1,10,0.5032
57.95,98.09,92.73,85.658,16,1,6,0.4419
52.37,93.03,61.62,80.43,15.3,0,3,0.589
59.8,92.52,72.2,69.675,12.5,0,4,0.5068
79.1,91.09,81.03,85.5195,19.1,0,1,0.3647
89.31,65.45,95.76,66.8435,9,1,4,0.4097
58.46,94.53,50.79,71.112,22.9,1,2,0.4798
55.43,97.07,60.63,72.905,18.7,0,5,0.5968
87.46,74.79,61.72,53.655,26.2,1,9,0.5472
65.26,67.73,66.33,70.5475,28,1,9,0.5441
97.57,70.71,64.09,72.394,27.5,0,1,0.394
85.72,66.71,79.51,81.124,20,1,6,0.486
66.34,60.62,94.28,76.081,13,1,2,0.5267
64.48,80.92,81.85,79.884,13.9,1,1,0.5863
76.18,78.13,62.08,70.372,21.3,0,9,0.5786
53.96,73.13,93.19,74.3615,22.8,0,2,0.4387
55.88,54.79,81.6,76.267,9,0,6,0.7616
58.79,89.84,60.95,80.8575,29.9,1,6,0.4593
88.74,58.75,68.08,73.3485,7.7,1,3,0.5998
75.69,55.73,89.5,73.8245,20.2,1,6,0.5221
50.53,81.15,86.95,74.7955,18.3,1,4,0.5103
83.68,69.93,78.83,68.481,19.8,1,8,0.394
71.18,52.99,57.24,63.839,18.3,1,4,0.6422
75.54,67.78,90.16,79.0605,6.4,1,7,0.4671
60.71,88.59,65.38,65.4635,29.9,1,10,0.4674
77.59,80.76,88.58,77.3015,29.5,1,2,0.3212
98.96,68.14,82.38,75.0215,18.1,1,6,0.4358
53.67,59.59,63.21,75.353,10.2,1,10,0.7588
64.2,81.59,60.62,65.729,9.6,1,5,0.5546
62.15,94.38,56.55,75.2985,6.4,1,1,0.5726
62.43,82.31,62.1,80.108,20.3,0,5,0.6131
68.94,90.65,57.89,75.0105,17,0,6,0.512
90.91,76.08,80.85,62.2255,15.4,0,2,0.4458
95.64,85.9,79.94,63.339,18.1,0,7,0.4009
60.11,94.81,79.31,86,26.8,1,1,0.2929
77.15,88.66,82.09,83.2735,6.8,0,1,0.4748
81.84,95.49,90.74,69.3965,18.6,0,1,0.3356
76.09,71.56,95.68,76.4625,22.5,0,2,0.4306
71.7,95.21,61.52,82.4665,29.3,1,1,0.2785
59.6,81.08,79.39,59.5425,23.5,0,7,0.5598
74.41,93.5,53.92,80.317,18.7,1,5,0.4681
70.06,51.97,56.01,60.266,24.2,0,7,0.6907
89.78,82.89,82.72,81.504,29.9,1,5,0.3263
88.18,92.4,74.33,71.186,27.2,0,8,0.3328
56.7,58.71,87.92,74.623,7.2,1,10,0.685
54.43,83.09,71.28,78.464,19.4,0,8,0.6368
95.41,91.25,56.38,63.484,24.7,1,9,0.3007
76.78,64.4,93.6,61.553,21.8,0,3,0.413
92.89,70.26,54.14,65.301,15.4,0,2,0.4594
52.91,78.48,59.45,71.6155,13.1,0,7,0.7702
76.33,75.96,63.85,65.0495,20.7,1,7,0.4858
76.97,51.96,99.76,69.617,15.3,1,3,0.6211
93.04,54.93,70.84,69.5805,14.8,1,2,0.4571
54.88,55.02,75.09,73.144,25.9,1,10,0.6381
62.02,63.11,88.48,71.1305,12.9,0,2,0.6881
70.33,62.29,81.82,71.7815,21.1,1,3,0.5971
93.29,87.11,92.07,72.854,26.8,0,8,0.395
96.94,78.64,74.32,90.2355,20.5,1,8,0.3504
99.64,88.2,98.61,76.253,17.3,0,1,0.294
97.96,53.49,89.84,80.9765,5.9,1,9,0.493
50.3,74.26,70.07,77.793,22,1,5,0.6087
52.39,66.19,69.06,67.811,29.9,1,5,0.5534
57.38,92.5,96.47,76.751,25.2,0,2,0.359
67.44,85.39,84.22,67.6485,20.9,0,5,0.4877
91.5,93.46,81.07,83.809,16.7,0,6,0.3125
94.63,52.32,87.89,66.3685,10.6,0,7,0.5278
59.34,86.04,78.04,84.643,22.3,1,1,0.4413
80.98,77,57.96,65.837,9.4,0,3,0.6443
95.87,91.25,65.96,66.365,27.2,0,4,0.3425
73.19,75.36,77.9,73.5795,13.8,1,7,0.5758
55.18,77.01,50.91,71.5475,15,1,8,0.6145
72.89,52.59,71.87,70.0545,10.4,0,5,0.6741
68.79,83.43,87.79,65.861,17,0,7,0.483
78.88,63.66,58.21,75.2635,22,1,2,0.4034
71.93,50.98,53.23,61.65,12.6,1,8,0.7287
50.87,53.32,91.8,75.9105,22.5,0,2,0.6161
99.7,97.86,80.86,78.4435,20.5,0,3,0.3173
77.18,67.3,58.83,71.3125,14.3,0,3,0.6354
73.68,93.4,90.32,75.455,12.8,1,6,0.333
97.73,97.98,82.91,86.517,26.5,1,10,0.2633
57.79,97.16,66.71,72.577,5.3,0,6,0.6852
59.46,94.09,68.81,66.8445,22.9,1,1,0.4868
90.4,94.74,57.79,67.4115,15.4,1,10,0.4152
63.04,64.45,91.76,64.658,22.9,0,2,0.5045
89.96,57.57,75.45,65.368,17.7,1,5,0.4712
63.58,81.96,77.85,69.9385,7.1,1,9,0.6418
51.66,74.41,94.17,85.136,29.6,0,6,0.5695
75.85,54.94,50.79,76.525,7.2,0,6,0.803
59.83,83.88,53.35,74.4115,9,0,1,0.6266
87.89,78.14,58.08,67.35,15.5,1,8,0.4372
82.06,93.15,51.5,73.57,28.6,1,9,0.395
96.18,80.46,82.91,80.1235,12.3,1,5,0.239
89.15,78.7,81.69,69.6725,19.2,0,10,0.461
59.04,72.04,60.54,80.4255,18,0,3,0.6102
90.01,73.14,57.47,55.686,13.3,1,10,0.5447
82.09,97.72,57.28,68.766,22.4,1,5,0.3037
83.45,56.92,97.66,75.735,17.5,0,5,0.5002
91.61,72.31,84.68,68.986,19.5,0,1,0.373
78.69,82.79,79.27,72.198,10.3,0,9,0.4689
73.3,71.65,66.12,72.1185,28.2,0,10,0.3932
81.83,64.16,71.65,75.2845,7.8,1,2,0.5234
64.9,64.37,54.47,62.4825,22.3,0,5,0.7716
59.13,61.68,99.91,83.0315,27.1,1,1,0.499
80.83,67.2,87.75,73.3085,7.1,1,7,0.4851
61.69,93.58,81.07,75.7135,5.7,0,7,0.5384
54,75.26,79.39,73.9255,13.3,1,5,0.608
50.03,62.01,75.22,70.887,24.7,0,10,0.6397
80.42,69.23,62.87,74.19,22.9,0,10,0.5605
68.11,55.29,61.32,68.76,25.6,0,2,0.6634
87.62,95.2,77.48,77.114,14.9,1,8,0.4001
68.76,70.41,53.51,74.6755,29.8,0,3,0.5402
74.3,99.02,53.72,85.1785,14.2,1,5,0.4115
70.35,67.38,78.04,69.06,25.1,1,6,0.4457
82.53,91.82,95.99,73.1915,13.8,0,6,0.3395
67.81,62.82,95.71,73.856,10.5,1,8,0.5387
98.19,53.81,50.54,62.794,13.4,0,1,0.6191
96.81,51.59,55.37,66.7465,9.8,0,5,0.6781
92.4,80.31,79.15,73.961,8.2,1,7,0.3745
96.02,65.58,92.42,69.146,14.1,1,5,0.46
72.46,72.18,97.72,71.8895,8.7,1,8,0.4872
76.82,90.93,93.03,70.444,17.6,0,2,0.385
87.1,62.41,83.88,65.3425,5.9,0,5,0.543
84.81,65.43,60.03,81.974,15.8,0,4,0.409
94.53,92.27,53.63,71.956,29,1,3,0.3367
85.82,74.64,52.38,63.047,14,0,2,0.6116
99.89,91.38,80.6,84.074,8.4,1,8,0.2847
67.43,68.72,51.81,70.906,12.6,1,4,0.6385
91.65,69.92,86.96,69.2295,24.8,0,10,0.4454
84.88,58.36,85.62,67.1885,12.8,0,10,0.5044
84.57,95.82,53.98,74.1035,14.6,0,4,0.4353
66.29,94.84,95.33,75.4185,24.7,1,4,0.3577
89.28,99.21,76.1,72.691,11.5,1,9,0.2967
95.02,70.12,95.22,78.0265,17,0,7,0.3923
60.93,90.93,95.08,70.592,6.6,1,10,0.4515
81.27,70.75,59.85,66.129,9.4,1,3,0.5868
69.61,72.71,69.03,73.618,10.2,0,5,0.6157
99.48,91.5,56.73,72.3755,16.6,0,4,0.3093
73.94,58.87,88.75,69.327,25.5,1,1,0.5007
61.42,61.02,75.21,81.0975,13.9,0,4,0.5969
69.09,65.74,96.44,60.7425,14.5,1,7,0.5039
82.69,89.41,60.41,72.4775,12.5,0,5,0.5112
53.8,68.63,84.42,68.4525,13,0,6,0.7303
80.18,67.91,99.46,75.76,15.1,0,6,0.4106
96.56,99.94,83.27,84.147,27.5,0,7,0.2059
92.52,69.19,53.44,71.376,5.6,1,1,0.5481
53.38,62.39,79.42,73.554,20.6,0,6,0.6867
99.67,81.16,58.99,74.2925,27.2,0,9,0.3902
84.94,90.09,51.53,60.618,15.4,1,10,0.4958
58.11,53.48,66.75,62.8285,21.3,0,5,0.6871
50.62,80.94,63.31,82.191,19.6,1,7,0.5768
58.56,51.79,89.44,75.5095,13.5,1,3,0.5543
91.91,76.32,68.68,67.5005,8.4,0,4,0.3723
51.08,62.85,86.65,72.6735,10.5,1,4,0.6643
61.66,65.33,50.81,69.1745,6.4,1,6,0.7799
87.87,73.35,50.74,67.6635,24.1,0,3,0.3859
79.31,96.36,51.47,80.5915,18.3,0,3,0.3933
89.14,85.53,60.97,67.2105,24.6,1,10,0.4366
87.31,96.84,68.7,65.7625,12.3,1,5,0.5001
52.53,83,80.39,67.896,25.1,1,2,0.4919
94.63,50.36,99.3,74.7145,12.7,0,1,0.4136
61.35,63.28,67.72,74.892,8,1,2,0.6335
77.67,95.29,52.78,76.632,18.3,0,9,0.5678
82.21,82.17,59.75,57.928,28.6,0,3,0.4435
58.43,99.08,94.89,77.7885,15.4,1,3,0.3439
98.81,57.8,84.97,63.35,17.9,0,1,0.4253
74.41,64.84,89.51,78.2515,16.3,1,2,0.3969
52.88,68.12,56.21,52.343,16.4,1,6,0.7542
96.86,66.33,56.75,79.18,10.4,0,2,0.5882
79.31,62.6,55.61,71.3345,15.6,1,10,0.6189
84.96,72.17,92.86,87.1185,17.4,0,10,0.3978
76.26,82.11,60.5,74.6185,23.6,0,8,0.4905
91.74,65.56,82.16,74.4435,8.5,1,6,0.3808
51.66,53.98,75.81,67.756,19.3,1,2,0.7045
63.42,85.43,77.22,65.844,21.6,0,10,0.5546
73.48,72.95,59.77,69.82,14.6,0,6,0.6079
53.83,77.82,81.76,83.158,18.7,1,2,0.6475
85.3,72.77,52.16,73.992,22.8,0,1,0.5052
69.68,94.52,99.67,74.968,16.6,0,5,0.3574
63.63,77.94,51.34,70.9725,13.3,0,5,0.6485
50.17,96.16,52.51,75.936,25.6,1,8,0.5943
85.99,75.53,66.23,70.021,29.7,0,4,0.4279
91.69,64.63,91.58,61.778,10.4,1,2,0.3718
69.75,67.77,62.86,79.9705,27.2,1,7,0.5387
78.21,76.11,73.6,66.725,18.6,1,3,0.4254
61.38,76.5,50.9,64.734,16.2,0,3,0.7743
81.11,84.37,53.94,69.047,27.3,0,8,0.542
50.61,61.22,80.4,69.21,27.8,0,3,0.6001
74.43,82.94,59.72,75.0065,11.8,1,2,0.5634
82.21,88.93,84.71,71.587,14,0,10,0.4577
95.91,83.83,89.27,87.2165,26.3,1,9,0.2531
69.07,74.09,92.52,86.193,17.3,0,8,0.5
88.26,99.58,56.69,65.174,12.2,0,2,0.4112
79.88,70.24,72.78,59.5335,29.1,1,8,0.4333
96.35,55.33,97.35,71.479,10.4,0,5,0.5258
69.92,91.08,88.6,75.563,20.3,1,10,0.3776
65.95,60.61,55.85,54.82,15.7,0,10,0.7617
94.36,85.66,75.13,80.863,16.3,1,4,0.2592
52.46,58.95,96.12,68.8405,7.6,0,10,0.7576
56.82,50.84,72,65.198,11.4,0,5,0.8843
54.12,57.99,91.87,81.524,9.2,1,10,0.589
92.16,68.85,74.79,79.456,23.7,0,5,0.4034
50.53,55.33,55.34,67.0285,22.4,1,1,0.7709
93.08,59.88,57.39,82.467,24.9,0,5,0.4643
72.56,88.23,52.33,72.1895,22.5,1,7,0.5055
50.2,88.49,59.77,72.452,8.2,0,8,0.6586
70.08,90.87,94.68,76.536,29.5,0,8,0.3779
59.34,92.06,82.51,65.5,9.7,0,2,0.5553
81.22,71.02,86.94,79.268,13.8,0,10,0.5488
83.97,93.38,81.08,80.2135,22.7,0,1,0.3667
74.38,76.3,69.33,64.4765,8.5,0,4,0.7433
52.03,73.53,60.84,60.8305,9.3,1,3,0.743
82.81,85.93,96.28,78.8755,26.9,0,8,0.3318
92.1,60.69,75.74,74.8075,13.3,0,6,0.5256
86.02,89.47,74.05,87.949,21.6,0,5,0.3189
91.5,71.47,99.81,77.0085,26.5,1,9,0.3005
60.03,56.36,69.2,63.094,29.3,0,6,0.6419
94.44,55.97,92.71,60.3575,10.3,1,6,0.4973
66.11,58.25,93.12,79.167,8.1,1,1,0.6081
